,Survived,Pclass,Sex,Age,Fare,Embarked,Title,IsAlone
83,0,1,1,1,3,2,2,1
84,1,2,0,1,1,2,1,1
85,1,3,0,2,2,2,3,0
86,0,3,1,0,3,2,2,0
87,0,3,1,1,1,2,2,1
88,1,1,0,1,3,2,1,0
89,0,3,1,1,1,2,2,1
90,0,3,1,1,1,2,2,1
91,0,3,1,1,0,2,2,1
92,0,1,1,2,3,2,2,0
93,0,3,1,1,2,2,2,0
94,0,3,1,3,0,2,2,1
95,0,3,1,1,1,2,2,1
96,0,1,1,4,3,0,2,1
97,1,1,1,1,3,0,2,0
98,1,2,0,2,2,2,3,0
99,0,2,1,2,2,2,2,0
100,0,3,0,1,0,2,1,1
101,0,3,1,1,0,2,2,1
102,0,1,1,1,3,2,2,0
103,0,3,1,2,1,2,2,1
104,0,3,1,2,1,2,2,0
105,0,3,1,1,0,2,2,1
106,1,3,0,1,0,2,1,1
107,1,3,1,1,0,2,2,1
108,0,3,1,2,0,2,2,1
109,1,3,0,1,2,1,1,0
110,0,1,1,2,3,2,2,1
111,0,3,0,0,2,0,1,0
112,0,3,1,1,1,2,2,1
113,0,3,0,1,1,2,1,0
114,0,3,0,1,2,0,1,1
115,0,3,1,1,1,2,2,1
116,0,3,1,4,0,1,2,1
117,0,2,1,1,2,2,2,0
118,0,1,1,1,3,0,2,0
119,0,3,0,0,3,2,1,0
120,0,2,1,1,3,2,2,0
121,0,3,1,1,1,2,2,1
122,0,2,1,1,2,0,2,0
123,1,2,0,1,1,2,1,1
124,0,1,1,3,3,2,2,0
125,1,3,1,0,1,0,0,0
126,0,3,1,1,0,1,2,1
127,1,3,1,1,0,2,2,1
128,1,3,0,1,2,0,1,0
129,0,3,1,2,0,2,2,1
130,0,3,1,2,0,0,2,1
131,0,3,1,1,0,2,2,1
132,0,3,0,2,2,2,3,0
133,1,2,0,1,2,2,3,0
134,0,2,1,1,1,2,2,1
135,0,2,1,1,2,0,2,1
136,1,1,0,1,2,2,1,0
137,0,1,1,2,3,2,2,0
138,0,3,1,0,1,2,2,1
139,0,1,1,1,3,0,2,1
140,0,3,0,1,2,0,3,0
141,1,3,0,1,0,2,1,1
142,1,3,0,1,2,2,3,0
143,0,3,1,1,0,1,2,1
144,0,2,1,1,1,2,2,1
145,0,2,1,1,3,2,2,0
146,1,3,1,1,0,2,2,1
147,0,3,0,0,3,2,1,0
148,0,2,1,2,2,2,2,0
149,0,2,1,2,1,2,4,1
150,0,2,1,3,1,2,4,1
151,1,1,0,1,3,2,3,0
152,0,3,1,3,1,2,2,1
153,0,3,1,2,2,2,2,0
154,0,3,1,1,0,2,2,1
155,0,1,1,3,3,0,2,0
156,1,3,0,0,0,1,1,1
157,0,3,1,1,1,2,2,1
158,0,3,1,1,1,2,2,1
159,0,3,1,1,3,2,0,0
160,0,3,1,2,2,2,2,0
161,1,2,0,2,2,2,3,1
162,0,3,1,1,0,2,2,1
163,0,3,1,1,1,2,2,1
164,0,3,1,0,3,2,0,0
165,1,3,1,0,2,2,0,0
166,1,1,0,1,3,2,3,0
167,0,3,0,2,2,2,3,0
168,0,1,1,1,2,2,2,1
169,0,3,1,1,3,2,2,1
170,0,1,1,3,3,2,2,1
171,0,3,1,0,2,1,0,0
172,1,3,0,0,1,2,1,0
173,0,3,1,1,1,2,2,1
174,0,1,1,3,2,0,2,1
175,0,3,1,1,0,2,2,0
176,0,3,1,1,2,2,0,0
177,0,1,0,3,2,0,1,1
178,0,2,1,1,1,2,2,1
179,0,3,1,2,0,2,2,1
180,0,3,0,1,3,2,1,0
181,0,2,1,1,2,0,2,1
182,0,3,1,0,3,2,0,0
183,1,2,1,0,3,2,0,0
184,1,3,0,0,2,2,1,0
185,0,1,1,1,3,2,2,1
186,1,3,0,1,2,1,3,0
187,1,1,1,2,2,2,2,1
188,0,3,1,2,2,1,2,0
189,0,3,1,2,0,2,2,1
190,1,2,0,1,1,2,3,1
191,0,2,1,1,1,2,2,1
192,1,3,0,1,0,2,1,0
193,1,2,1,0,2,2,0,0
194,1,1,0,2,2,0,3,1
195,1,1,0,3,3,0,1,1
196,0,3,1,1,0,1,2,1
197,0,3,1,2,1,2,2,0
198,1,3,0,1,0,1,1,1
199,0,2,0,1,1,2,1,1
200,0,3,1,1,1,2,2,1
201,0,3,1,1,3,2,2,0
202,0,3,1,2,0,2,2,1
203,0,3,1,2,0,0,2,1
204,1,3,1,1,1,2,2,1
205,0,3,0,0,1,2,1,0
206,0,3,1,1,2,2,2,0
207,1,3,1,1,2,0,2,1
208,1,3,0,0,0,1,1,1
209,1,1,1,2,2,0,2,1
210,0,3,1,1,0,2,2,1
211,1,2,0,2,2,2,1,1
212,0,3,1,1,0,2,2,1
213,0,2,1,1,1,2,2,1
214,0,3,1,1,0,1,2,0
215,1,1,0,1,3,0,1,0
216,1,3,0,1,1,2,1,1
217,0,2,1,2,2,2,2,0
218,1,1,0,1,3,0,1,1
219,0,2,1,1,1,2,2,1
220,1,3,1,0,1,2,2,1
221,0,2,1,1,1,2,2,1
222,0,3,1,3,1,2,2,1
223,0,3,1,1,0,2,2,1
224,1,1,1,2,3,2,2,0
225,0,3,1,1,1,2,2,1
226,1,2,1,1,1,2,2,1
227,0,3,1,1,0,2,2,1
228,0,2,1,1,1,2,2,1
229,0,3,0,1,2,2,1,0
230,1,1,0,2,3,2,3,0
231,0,3,1,1,0,2,2,1
232,0,2,1,3,1,2,2,1
233,1,3,0,0,3,2,1,0
234,0,2,1,1,1,2,2,1
235,0,3,0,1,0,2,1,1
236,0,2,1,2,2,2,2,0
237,1,2,0,0,2,2,1,0
238,0,2,1,1,1,2,2,1
239,0,2,1,2,1,2,2,1
240,0,3,0,1,2,0,1,0
241,1,3,0,1,2,1,1,0
242,0,2,1,1,1,2,2,1
243,0,3,1,1,0,2,2,1
244,0,3,1,1,0,0,2,1
245,0,1,1,2,3,1,4,0
246,0,3,0,1,0,2,1,1
247,1,2,0,1,2,2,3,0
248,1,1,1,2,3,2,2,0
249,0,2,1,3,2,2,4,0
250,0,3,1,1,0,2,2,1
251,0,3,0,1,1,2,3,0
252,0,1,1,3,2,2,2,1
253,0,3,1,1,2,2,2,0
254,0,3,0,2,2,2,3,0
255,1,3,0,1,2,0,3,0
256,1,1,0,1,3,0,3,1
257,1,1,0,1,3,2,1,1
258,1,1,0,2,3,0,1,1
259,1,2,0,3,2,2,3,0
260,0,3,1,1,0,1,2,1
261,1,3,1,0,3,2,0,0
262,0,1,1,3,3,2,2,0
263,0,1,1,2,0,2,2,1
264,0,3,0,1,0,1,1,1
265,0,2,1,2,1,2,2,1
266,0,3,1,0,3,2,2,0
267,1,3,1,1,0,2,2,0
268,1,1,0,3,3,2,3,0
269,1,1,0,2,3,2,1,1
270,0,1,1,1,2,2,2,1
271,1,3,1,1,0,2,2,1
272,1,2,0,2,2,2,3,0
273,0,1,1,2,2,0,2,0
274,1,3,0,1,0,1,1,1
275,1,1,0,3,3,2,1,0
276,0,3,0,2,0,2,1,1
277,0,2,1,1,0,2,2,1
278,0,3,1,0,2,1,0,0
279,1,3,0,2,2,2,3,0
280,0,3,1,4,0,1,2,1
281,0,3,1,1,0,2,2,1
282,0,3,1,0,1,2,2,1
283,1,3,1,1,1,2,2,1
284,0,1,1,1,2,2,2,1
285,0,3,1,2,1,0,2,1
286,1,3,1,1,1,2,2,1
287,0,3,1,1,0,2,2,1
288,1,2,1,2,1,2,2,1
289,1,3,0,1,0,1,1,1
290,1,1,0,1,3,2,1,1
291,1,1,0,1,3,0,3,0
292,0,2,1,2,1,0,2,1
293,0,3,0,1,1,2,1,1
294,0,3,1,1,0,2,2,1
295,0,1,1,1,2,0,2,1
296,0,3,1,1,0,0,2,1
297,0,1,0,0,3,2,1,0
298,1,1,1,1,2,2,2,1
299,1,1,0,3,3,0,3,0
300,1,3,0,1,0,1,1,1
301,1,3,1,1,2,1,2,0
302,0,3,1,1,0,2,2,1
303,1,2,0,1,1,1,1,1
304,0,3,1,1,1,2,2,1
305,1,1,1,0,3,2,0,0
306,1,1,0,1,3,0,1,1
307,1,1,0,1,3,0,3,0
308,0,2,1,1,2,0,2,0
309,1,1,0,1,3,0,1,1
310,1,1,0,1,3,0,1,1
311,1,1,0,1,3,0,1,0
312,0,2,0,1,2,2,3,0
313,0,3,1,1,0,2,2,1
314,0,2,1,2,2,2,2,0
315,1,3,0,1,0,2,1,1
316,1,2,0,1,2,2,3,0
317,0,2,1,3,1,2,4,1
318,1,1,0,1,3,2,1,0
319,1,1,0,2,3,0,3,0
320,0,3,1,1,0,2,2,1
321,0,3,1,1,0,2,2,1
322,1,2,0,1,1,1,1,1
323,1,2,0,1,2,2,3,0
324,0,3,1,1,3,2,2,0
325,1,1,0,2,3,0,1,1
326,0,3,1,3,0,2,2,1
327,1,2,0,2,1,2,3,1
328,1,3,0,1,2,2,3,0
329,1,1,0,0,3,0,1,0
330,1,3,0,1,2,1,1,0
331,0,1,1,2,2,2,2,1
332,0,1,1,2,3,2,2,0
333,0,3,1,0,2,2,2,0
334,1,1,0,1,3,2,3,0
335,0,3,1,1,0,2,2,1
336,0,1,1,1,3,2,2,0
337,1,1,0,2,3,0,1,1
338,1,3,1,2,1,2,2,1
339,0,1,1,2,3,2,2,1
340,1,2,1,0,2,2,0,0
341,1,1,0,1,3,2,1,0
342,0,2,1,1,1,2,2,1
343,0,2,1,1,1,2,2,1
344,0,2,1,2,1,2,2,1
345,1,2,0,1,1,2,1,1
346,1,2,0,2,1,2,1,1
347,1,3,0,1,2,2,3,0
348,1,3,1,0,2,2,0,0
349,0,3,1,2,1,2,2,1
350,0,3,1,1,1,2,2,1
351,0,1,1,1,3,2,2,1
352,0,3,1,0,0,0,2,0
353,0,3,1,1,2,2,2,0
354,0,3,1,1,0,0,2,1
355,0,3,1,1,1,2,2,1
356,1,1,0,1,3,2,1,0
357,0,2,0,2,1,2,1,1
358,1,3,0,1,0,1,1,1
359,1,3,0,1,0,1,1,1
360,0,3,1,2,2,2,2,0
361,0,2,1,1,2,0,2,0
362,0,3,0,2,2,0,3,0
363,0,3,1,2,0,2,2,1
364,0,3,1,1,2,1,2,0
365,0,3,1,1,0,2,2,1
366,1,1,0,3,3,0,3,0
367,1,3,0,1,0,0,3,1
368,1,3,0,1,0,1,1,1
369,1,1,0,1,3,0,3,1
370,1,1,1,1,3,0,2,0
371,0,3,1,1,0,2,2,0
372,0,3,1,1,1,2,2,1
373,0,1,1,1,3,0,2,1
374,0,3,0,0,2,2,1,0
375,1,1,0,1,3,0,3,0
376,1,3,0,1,0,2,1,1
377,0,1,1,1,3,0,2,0
378,0,3,1,1,0,0,2,1
379,0,3,1,1,0,2,2,1
380,1,1,0,2,3,0,1,1
381,1,3,0,0,2,0,1,0
382,0,3,1,1,1,2,2,1
383,1,1,0,2,3,2,3,0
384,0,3,1,1,0,2,2,1
385,0,2,1,1,3,2,2,1
386,0,3,1,0,3,2,0,0
387,1,2,0,2,1,2,1,1
388,0,3,1,1,0,1,2,1
389,1,2,0,1,1,0,1,1
390,1,1,1,2,3,2,2,0
391,1,3,1,1,0,2,2,1
392,0,3,1,1,1,2,2,0
393,1,1,0,1,3,0,1,0
394,1,3,0,1,2,2,3,0
395,0,3,1,1,0,2,2,1
396,0,3,0,1,0,2,1,1
397,0,2,1,2,2,2,2,1
398,0,2,1,1,1,2,4,1
399,1,2,0,1,1,2,3,1
400,1,3,1,2,1,2,2,1
401,0,3,1,1,1,2,2,1
402,0,3,0,1,1,2,1,0
403,0,3,1,1,2,2,2,0
404,0,3,0,1,1,2,1,1
405,0,2,1,2,2,2,2,0
406,0,3,1,3,0,2,2,1
407,1,2,1,0,2,2,0,0
408,0,3,1,1,0,2,2,1
409,0,3,0,1,2,2,1,0
410,0,3,1,1,0,2,2,1
411,0,3,1,1,0,1,2,1
412,1,1,0,2,3,1,1,0
413,0,2,1,1,0,2,2,1
414,1,3,1,2,1,2,2,1
415,0,3,0,1,1,2,3,1
416,1,2,0,2,3,2,3,0
417,1,2,0,1,1,2,1,0
418,0,2,1,1,1,2,2,1
419,0,3,0,0,2,2,1,0
420,0,3,1,1,0,0,2,1
421,0,3,1,1,0,1,2,1
422,0,3,1,1,0,2,2,1
423,0,3,0,1,1,2,3,0
424,0,3,1,1,2,2,2,0
425,0,3,1,1,0,2,2,1
426,1,2,0,1,2,2,3,0
427,1,2,0,1,2,2,1,1
428,0,3,1,1,0,1,2,1
429,1,3,1,1,1,2,2,1
430,1,1,1,1,2,2,2,1
431,1,3,0,1,2,2,3,0
432,1,2,0,2,2,2,3,0
433,0,3,1,1,0,2,2,1
434,0,1,1,3,3,2,2,0
435,1,1,0,0,3,2,1,0
436,0,3,0,1,3,2,1,0
437,1,2,0,1,2,2,3,0
438,0,1,1,3,3,2,2,0
439,0,2,1,1,1,2,2,1
440,1,2,0,2,2,2,3,0
441,0,3,1,1,1,2,2,1
442,0,3,1,1,0,2,2,0
443,1,2,0,1,1,2,1,1
444,1,3,1,1,1,2,2,1
445,1,1,1,0,3,2,0,0
446,1,2,0,0,2,2,1,0
447,1,1,1,2,2,2,2,1
448,1,3,0,0,2,0,1,0
449,1,1,1,3,2,2,4,1
450,0,2,1,2,2,2,2,0
451,0,3,1,1,2,2,2,0
452,0,1,1,1,2,0,2,1
453,1,1,1,3,3,0,2,0
454,0,3,1,1,1,2,2,1
455,1,3,1,1,0,0,2,1
456,0,1,1,4,2,2,2,1
457,1,1,0,1,3,2,3,0
458,1,2,0,3,1,2,1,1
459,0,3,1,1,0,1,2,1
460,1,1,1,2,2,2,2,1
461,0,3,1,2,1,2,2,1
462,0,1,1,2,3,2,2,1
463,0,2,1,2,1,2,2,1
464,0,3,1,1,1,2,2,1
465,0,3,1,2,0,2,2,1
466,0,2,1,1,0,2,2,1
467,0,1,1,3,2,2,2,1
468,0,3,1,1,0,1,2,1
469,1,3,0,0,2,0,1,0
470,0,3,1,1,0,2,2,1
471,0,3,1,2,1,2,2,1
472,1,2,0,2,2,2,3,0
473,1,2,0,1,1,0,3,1
474,0,3,0,1,1,2,1,1
475,0,1,1,1,3,2,2,1
476,0,2,1,2,2,2,2,0
477,0,3,1,1,0,2,2,0
478,0,3,1,1,0,2,2,1
479,1,3,0,0,1,2,1,0
480,0,3,1,0,3,2,0,0
481,0,2,1,1,0,2,2,1
482,0,3,1,3,1,2,2,1
483,1,3,0,3,1,2,3,1
484,1,1,1,1,3,0,2,0
485,0,3,0,1,2,2,1,0
486,1,1,0,2,3,2,3,0
487,0,1,1,3,2,0,2,1
488,0,3,1,1,1,2,2,1
489,1,3,1,0,2,2,0,0
490,0,3,1,1,2,2,2,0
491,0,3,1,1,0,2,2,1
492,0,1,1,3,2,2,2,1
493,0,1,1,4,3,0,2,1
494,0,3,1,1,1,2,2,1
495,0,3,1,1,2,0,2,1
496,1,1,0,3,3,0,1,0
497,0,3,1,1,2,2,2,1
498,0,1,0,1,3,2,3,0
499,0,3,1,1,0,2,2,1
500,0,3,1,1,1,2,2,1
501,0,3,0,1,0,1,1,1
502,0,3,0,1,0,1,1,1
503,0,3,0,2,1,2,1,1
504,1,1,0,0,3,2,1,1
505,0,1,1,1,3,0,2,0
506,1,2,0,2,2,2,3,0
507,1,1,1,1,2,2,2,1
508,0,3,1,1,2,2,2,1
509,1,3,1,1,3,2,2,1
510,1,3,1,1,0,1,2,1
511,0,3,1,1,1,2,2,1
512,1,1,1,2,2,2,2,1
513,1,1,0,3,3,0,3,0
514,0,3,1,1,0,2,2,1
515,0,1,1,2,3,2,2,1
516,1,2,0,2,1,2,3,1
517,0,3,1,1,2,1,2,1
518,1,2,0,2,2,2,3,0
519,0,3,1,1,0,2,2,1
520,1,1,0,1,3,2,1,1
521,0,3,1,1,0,2,2,1
522,0,3,1,1,0,0,2,1
523,1,1,0,2,3,0,3,0
524,0,3,1,1,0,0,2,1
525,0,3,1,2,0,1,2,1
526,1,2,0,3,1,2,1,1
527,0,1,1,1,3,2,2,1
528,0,3,1,2,1,2,2,1
529,0,2,1,1,1,2,2,0
530,1,2,0,0,2,2,1,0
531,0,3,1,1,0,0,2,1
532,0,3,1,1,0,0,2,0
533,1,3,0,1,2,0,3,0
534,0,3,0,1,1,2,1,1
535,1,2,0,0,2,2,1,0
536,0,1,1,2,2,2,4,1
537,1,1,0,1,3,0,1,1
538,0,3,1,1,2,2,2,1
539,1,1,0,1,3,0,1,0
540,1,1,0,2,3,2,1,0
541,0,3,0,0,3,2,1,0
542,0,3,0,0,3,2,1,0
543,1,2,1,1,2,2,2,0
544,0,1,1,3,3,0,2,0
545,0,1,1,3,2,2,2,1
546,1,2,0,1,2,2,3,0
547,1,2,1,1,1,0,2,1
548,0,3,1,2,2,2,2,0
549,1,2,1,0,3,2,0,0
550,1,1,1,1,3,0,2,0
551,0,2,1,1,2,2,2,1
552,0,3,1,1,0,1,2,1
553,1,3,1,1,0,0,2,1
554,1,3,0,1,0,2,1,1
555,0,1,1,3,2,2,2,1
556,1,1,0,2,3,0,4,0
557,0,1,1,1,3,0,2,1
558,1,1,0,2,3,2,3,0
559,1,3,0,2,2,2,3,0
560,0,3,1,1,0,1,2,1
561,0,3,1,2,0,2,2,1
562,0,2,1,1,1,2,2,1
563,0,3,1,1,1,2,2,1
564,0,3,0,1,1,2,1,1
565,0,3,1,1,2,2,2,0
566,0,3,1,1,0,2,2,1
567,0,3,0,1,2,2,3,0
568,0,3,1,1,0,0,2,1
569,1,3,1,1,0,2,2,1
570,1,2,1,3,1,2,2,1
571,1,1,0,3,3,2,3,0
572,1,1,1,2,2,2,2,1
573,1,3,0,1,0,1,1,1
574,0,3,1,0,1,2,2,1
575,0,3,1,1,2,2,2,1
576,1,2,0,2,1,2,1,1
577,1,1,0,2,3,2,3,0
578,0,3,0,1,2,0,3,0
579,1,3,1,1,1,2,2,1
580,1,2,0,1,2,2,1,0
581,1,1,0,2,3,0,3,0
582,0,2,1,3,2,2,2,1
583,0,1,1,2,3,0,2,1
584,0,3,1,1,1,0,2,1
585,1,1,0,1,3,2,1,0
586,0,2,1,2,2,2,2,1
587,1,1,1,3,3,0,2,0
588,0,3,1,1,1,2,2,1
589,0,3,1,1,1,2,2,1
590,0,3,1,2,0,2,2,1
591,1,1,0,3,3,0,3,0
592,0,3,1,2,0,2,2,1
593,0,3,0,1,0,1,1,0
594,0,2,1,2,2,2,2,0
595,0,3,1,2,2,2,2,0
596,1,2,0,1,3,2,1,1
597,0,3,1,3,0,2,2,1
598,0,3,1,1,0,0,2,1
599,1,1,1,3,3,0,4,0
600,1,2,0,1,2,2,3,0
601,0,3,1,1,0,2,2,1
602,0,1,1,1,3,2,2,1
603,0,3,1,2,1,2,2,1
604,1,1,1,2,2,0,2,1
605,0,3,1,2,2,2,2,0
606,0,3,1,1,0,2,2,1
607,1,1,1,1,2,2,2,1
608,1,2,0,1,3,0,3,0
609,1,1,0,2,3,2,1,1
610,0,3,0,2,3,2,3,0
611,0,3,1,1,0,2,2,1
612,1,3,0,1,2,1,1,0
613,0,3,1,1,0,1,2,1
614,0,3,1,2,1,2,2,1
615,1,2,0,1,3,2,1,0
616,0,3,1,2,1,2,2,0
617,0,3,0,1,2,2,3,0
618,1,2,0,0,3,2,1,0
619,0,2,1,1,1,2,2,1
620,0,3,1,1,2,0,2,0
621,1,1,1,2,3,2,2,0
622,1,3,1,1,2,0,2,0
623,0,3,1,1,0,2,2,1
624,0,3,1,1,2,2,2,1
625,0,1,1,3,3,2,2,1
626,0,2,1,3,1,1,4,1
627,1,1,0,1,3,2,1,1
628,0,3,1,1,0,2,2,1
629,0,3,1,1,0,1,2,1
630,1,1,1,4,2,2,2,1
631,0,3,1,3,0,2,2,1
632,1,1,1,1,2,0,4,1
633,0,1,1,1,0,2,2,1
634,0,3,0,0,2,2,1,0
635,1,2,0,1,1,2,1,1
636,0,3,1,1,1,2,2,1
637,0,2,1,1,2,2,2,0
638,0,3,0,2,3,2,3,0
639,0,3,1,1,2,2,2,0
640,0,3,1,1,0,2,2,1
641,1,1,0,1,3,0,1,1
642,0,3,0,0,2,2,1,0
643,1,3,1,1,3,2,2,1
644,1,3,0,0,2,0,1,0
645,1,1,1,2,3,0,2,0
646,0,3,1,1,0,2,2,1
647,1,1,1,3,3,0,4,1
648,0,3,1,1,0,2,2,1
649,1,3,0,1,0,2,1,1
650,0,3,1,1,0,2,2,1
651,1,2,0,1,2,2,1,0
652,0,3,1,1,1,2,2,1
653,1,3,0,1,0,1,1,1
654,0,3,0,1,0,1,1,1
655,0,2,1,1,3,2,2,0
656,0,3,1,1,0,2,2,1
657,0,3,0,1,2,1,3,0
658,0,2,1,1,1,2,2,1
659,0,1,1,3,3,0,2,0
660,1,1,1,3,3,2,4,0
661,0,3,1,2,0,0,2,1
662,0,1,1,2,2,2,2,1
663,0,3,1,2,0,2,2,1
664,1,3,1,1,1,2,2,0
665,0,2,1,1,3,2,2,0
666,0,2,1,1,1,2,2,1
667,0,3,1,1,0,2,2,1
668,0,3,1,2,1,2,2,1
669,1,1,0,1,3,2,3,0
670,1,2,0,2,3,2,3,0
671,0,1,1,1,3,2,2,0
672,0,2,1,4,1,2,2,1
673,1,2,1,1,1,2,2,1
674,0,2,1,1,0,2,2,1
675,0,3,1,1,0,2,2,1
676,0,3,1,1,1,2,2,1
677,1,3,0,1,1,2,1,1
678,0,3,0,2,3,2,3,0
679,1,1,1,2,3,0,2,0
680,0,3,0,1,1,1,1,1
681,1,1,1,1,3,0,2,1
682,0,3,1,1,1,2,2,1
683,0,3,1,0,3,2,2,0
684,0,2,1,3,3,2,2,0
685,0,2,1,1,3,0,2,0
686,0,3,1,0,3,2,2,0
687,0,3,1,1,1,2,2,1
688,0,3,1,1,0,2,2,1
689,1,1,0,0,3,2,1,0
690,1,1,1,1,3,2,2,0
691,1,3,0,0,1,0,1,0
692,1,3,1,1,3,2,2,1
693,0,3,1,1,0,0,2,1
694,0,1,1,3,2,2,4,1
695,0,2,1,3,1,2,2,1
696,0,3,1,2,1,2,2,1
697,1,3,0,1,0,1,1,1
698,0,1,1,3,3,0,2,0
699,0,3,1,2,0,2,2,1
700,1,1,0,1,3,0,3,0
701,1,1,1,2,2,2,2,1
702,0,3,0,1,2,0,1,0
703,0,3,1,1,0,1,2,1
704,0,3,1,1,0,2,2,0
705,0,2,1,2,2,2,2,1
706,1,2,0,2,1,2,3,1
707,1,1,1,2,2,2,2,1
708,1,1,0,1,3,2,1,1
709,1,3,1,1,2,0,0,0
710,1,1,0,1,3,0,1,1
711,0,1,1,1,2,2,2,1
712,1,1,1,2,3,2,2,0
713,0,3,1,1,1,2,2,1
714,0,2,1,3,1,2,2,1
715,0,3,1,1,0,2,2,1
716,1,1,0,2,3,0,1,1
717,1,2,0,1,1,2,1,1
718,0,3,1,1,2,1,2,1
719,0,3,1,2,0,2,2,1
720,1,2,0,0,3,2,1,0
721,0,3,1,1,0,2,2,0
722,0,2,1,2,1,2,2,1
723,0,2,1,3,1,2,2,1
724,1,1,1,1,3,2,2,0
725,0,3,1,1,1,2,2,1
726,1,2,0,1,2,2,3,0
727,1,3,0,1,0,1,1,1
728,0,2,1,1,2,2,2,0
729,0,3,0,1,1,2,1,0
730,1,1,0,1,3,2,1,1
731,0,3,1,0,2,0,2,1
732,0,2,1,1,0,2,2,1
733,0,2,1,1,1,2,2,1
734,0,2,1,1,1,2,2,1
735,0,3,1,1,2,2,2,1
736,0,3,0,2,3,2,3,0
737,1,1,1,2,3,0,2,1
738,0,3,1,1,0,2,2,1
739,0,3,1,1,0,2,2,1
740,1,1,1,1,2,2,2,1
741,0,1,1,2,3,2,2,0
742,1,1,0,1,3,0,1,0
743,0,3,1,1,2,2,2,0
744,1,3,1,1,1,2,2,1
745,0,1,1,4,3,2,4,0
746,0,3,1,0,2,2,2,0
747,1,2,0,1,1,2,1,1
748,0,1,1,1,3,2,2,0
749,0,3,1,1,0,1,2,1
750,1,2,0,0,2,2,1,0
751,1,3,1,0,1,2,0,0
752,0,3,1,2,1,2,2,1
753,0,3,1,1,0,2,2,1
754,1,2,0,2,3,2,3,0
755,1,2,1,0,2,2,0,0
756,0,3,1,1,0,2,2,1
757,0,2,1,1,1,2,2,1
758,0,3,1,2,1,2,2,1
759,1,1,0,2,3,2,4,1
760,0,3,1,1,2,2,2,1
761,0,3,1,2,0,2,2,1
762,1,3,1,1,0,0,2,1
763,1,1,0,2,3,2,3,0
764,0,3,1,0,0,2,2,1
765,1,1,0,3,3,2,3,0
766,0,1,1,1,3,0,4,1
767,0,3,0,1,0,1,1,1
768,0,3,1,1,2,1,2,0
769,0,3,1,1,1,2,2,1
770,0,3,1,1,1,2,2,1
771,0,3,1,2,0,2,2,1
772,0,2,0,3,1,2,3,1
